Size		Time		Stack Size
1		0.000000		6
2		0.000000		10
3		0.000000		14
4		0.000000		18
5		0.000000		22
6		0.000000		26
7		0.001000		30
8		0.001000		34
9		0.000000		38
10		0.000000		42
11		0.000000		46
12		0.001000		50
13		0.001000		54
14		0.000000		58
15		0.001000		62
16		0.001000		66
17		0.001000		70
18		0.001000		74
19		0.000000		78
20		0.001000		82
21		0.001000		86
22		0.002000		90
23		0.002000		94
24		0.002000		98
25		0.001000		102
26		0.001000		106
27		0.001000		110
28		0.002000		114
29		0.001000		118
30		0.002000		122
31		0.002000		126
32		0.002000		130
33		0.002000		134
34		0.002000		138
35		0.002000		142
36		0.003000		146
37		0.003000		150
38		0.003000		154
39		0.002000		158
40		0.003000		162
41		0.003000		166
42		0.004000		170
43		0.003000		174
44		0.003000		178
45		0.003000		182
46		0.004000		186
47		0.004000		190
48		0.004000		194
49		0.004000		198
50		0.004000		202
51		0.005000		206
52		0.005000		210
53		0.005000		214
54		0.005000		218
55		0.005000		222
56		0.006000		226
57		0.006000		230
58		0.006000		234
59		0.006000		238
60		0.007000		242
61		0.006000		246
62		0.007000		250
63		0.006000		254
64		0.007000		258
65		0.007000		262
66		0.008000		266
67		0.007000		270
68		0.008000		274
69		0.008000		278
70		0.008000		282
71		0.008000		286
72		0.009000		290
73		0.009000		294
74		0.017000		298
75		0.009000		302
76		0.008000		306
77		0.009000		310
78		0.009000		314
79		0.009000		318
80		0.010000		322
81		0.010000		326
82		0.010000		330
83		0.010000		334
84		0.010000		338
85		0.011000		342
86		0.011000		346
87		0.011000		350
88		0.010000		354
89		0.011000		358
90		0.013000		362
91		0.011000		366
92		0.011000		370
93		0.011000		374
94		0.012000		378
95		0.012000		382
96		0.012000		386
97		0.012000		390
98		0.012000		394
99		0.013000		398
100		0.013000		402
101		0.013000		406
102		0.014000		410
103		0.014000		414
104		0.014000		418
105		0.015000		422
106		0.015000		426
107		0.016000		430
108		0.015000		434
109		0.016000		438
110		0.017000		442
111		0.017000		446
112		0.016000		450
113		0.016000		454
114		0.017000		458
115		0.018000		462
116		0.018000		466
117		0.018000		470
118		0.018000		474
119		0.019000		478
120		0.018000		482
121		0.019000		486
122		0.019000		490
123		0.020000		494
124		0.021000		498
125		0.021000		502
126		0.021000		506
127		0.021000		510
128		0.022000		514
129		0.021000		518
130		0.022000		522
131		0.022000		526
132		0.023000		530
133		0.022000		534
134		0.022000		538
135		0.022000		542
136		0.023000		546
137		0.024000		550
138		0.024000		554
139		0.024000		558
140		0.024000		562
141		0.024000		566
142		0.025000		570
143		0.025000		574
144		0.025000		578
145		0.025000		582
146		0.026000		586
147		0.026000		590
148		0.026000		594
149		0.026000		598
150		0.027000		602
151		0.027000		606
152		0.028000		610
153		0.028000		614
154		0.028000		618
155		0.028000		622
156		0.029000		626
157		0.029000		630
158		0.029000		634
159		0.030000		638
160		0.030000		642
161		0.030000		646
162		0.030000		650
163		0.031000		654
164		0.031000		658
165		0.031000		662
166		0.031000		666
167		0.032000		670
168		0.032000		674
169		0.032000		678
170		0.032000		682
171		0.032000		686
172		0.033000		690
173		0.033000		694
174		0.033000		698
175		0.033000		702
176		0.034000		706
177		0.035000		710
178		0.034000		714
179		0.035000		718
180		0.035000		722
181		0.036000		726
182		0.036000		730
183		0.036000		734
184		0.037000		738
185		0.037000		742
186		0.037000		746
187		0.038000		750
188		0.038000		754
189		0.038000		758
190		0.038000		762
191		0.038000		766
192		0.039000		770
193		0.039000		774
194		0.039000		778
195		0.040000		782
196		0.040000		786
197		0.040000		790
198		0.040000		794
199		0.040000		798
200		0.041000		802
201		0.042000		806
202		0.042000		810
203		0.043000		814
204		0.049000		818
205		0.045000		822
206		0.036000		826
207		0.036000		830
208		0.037000		834
209		0.037000		838
210		0.038000		842
211		0.038000		846
212		0.038000		850
213		0.038000		854
214		0.038000		858
215		0.039000		862
216		0.040000		866
217		0.040000		870
218		0.041000		874
219		0.040000		878
220		0.041000		882
221		0.040000		886
222		0.040000		890
223		0.052000		894
224		0.056000		898
225		0.054000		902
226		0.054000		906
227		0.061000		910
228		0.056000		914
229		0.053000		918
230		0.052000		922
231		0.056000		926
232		0.076000		930
233		0.057000		934
234		0.042000		938
235		0.050000		942
236		0.044000		946
237		0.041000		950
238		0.044000		954
239		0.041000		958
240		0.055000		962
241		0.049000		966
242		0.049000		970
243		0.049000		974
244		0.049000		978
245		0.048000		982
246		0.050000		986
247		0.049000		990
248		0.049000		994
249		0.051000		998
250		0.050000		1002
251		0.061000		1006
252		0.050000		1010
253		0.051000		1014
254		0.051000		1018
255		0.052000		1022
256		0.052000		1026
257		0.052000		1030
258		0.052000		1034
259		0.052000		1038
260		0.053000		1042
261		0.053000		1046
262		0.054000		1050
263		0.054000		1054
264		0.054000		1058
265		0.055000		1062
266		0.055000		1066
267		0.056000		1070
268		0.056000		1074
269		0.056000		1078
270		0.056000		1082
271		0.057000		1086
272		0.057000		1090
273		0.056000		1094
274		0.057000		1098
275		0.058000		1102
276		0.075000		1106
277		0.060000		1110
278		0.060000		1114
279		0.061000		1118
280		0.061000		1122
281		0.061000		1126
282		0.062000		1130
283		0.062000		1134
284		0.063000		1138
285		0.062000		1142
286		0.064000		1146
287		0.064000		1150
288		0.064000		1154
289		0.065000		1158
290		0.065000		1162
291		0.066000		1166
292		0.067000		1170
293		0.068000		1174
294		0.077000		1178
295		0.066000		1182
296		0.066000		1186
297		0.066000		1190
298		0.067000		1194
299		0.067000		1198
300		0.067000		1202
301		0.068000		1206
302		0.068000		1210
303		0.068000		1214
304		0.069000		1218
305		0.069000		1222
306		0.069000		1226
307		0.069000		1230
308		0.070000		1234
309		0.070000		1238
310		0.071000		1242
311		0.072000		1246
312		0.072000		1250
313		0.073000		1254
314		0.073000		1258
315		0.074000		1262
316		0.074000		1266
317		0.074000		1270
318		0.074000		1274
319		0.075000		1278
320		0.075000		1282
321		0.076000		1286
322		0.076000		1290
323		0.076000		1294
324		0.076000		1298
325		0.077000		1302
326		0.078000		1306
327		0.078000		1310
328		0.103000		1314
329		0.090000		1318
330		0.101000		1322
331		0.113000		1326
332		0.112000		1330
333		0.114000		1334
334		0.106000		1338
335		0.088000		1342
336		0.079000		1346
337		0.079000		1350
338		0.080000		1354
339		0.080000		1358
340		0.081000		1362
341		0.081000		1366
342		0.081000		1370
343		0.081000		1374
344		0.083000		1378
345		0.083000		1382
346		0.087000		1386
347		0.085000		1390
348		0.085000		1394
349		0.085000		1398
350		0.087000		1402
351		0.087000		1406
352		0.087000		1410
353		0.088000		1414
354		0.089000		1418
355		0.090000		1422
356		0.090000		1426
357		0.090000		1430
358		0.091000		1434
359		0.091000		1438
360		0.092000		1442
361		0.092000		1446
362		0.094000		1450
363		0.093000		1454
364		0.095000		1458
365		0.094000		1462
366		0.095000		1466
367		0.095000		1470
368		0.095000		1474
369		0.099000		1478
370		0.111000		1482
371		0.132000		1486
372		0.132000		1490
373		0.132000		1494
374		0.133000		1498
375		0.134000		1502
376		0.134000		1506
377		0.134000		1510
378		0.126000		1514
379		0.111000		1518
380		0.102000		1522
381		0.102000		1526
382		0.103000		1530
383		0.103000		1534
384		0.103000		1538
385		0.105000		1542
386		0.105000		1546
387		0.105000		1550
388		0.106000		1554
389		0.107000		1558
390		0.107000		1562
391		0.107000		1566
392		0.108000		1570
393		0.108000		1574
394		0.108000		1578
395		0.109000		1582
396		0.109000		1586
397		0.110000		1590
398		0.111000		1594
399		0.111000		1598
400		0.111000		1602
401		0.111000		1606
402		0.112000		1610
403		0.113000		1614
404		0.114000		1618
405		0.114000		1622
406		0.114000		1626
407		0.122000		1630
408		0.132000		1634
409		0.132000		1638
410		0.126000		1642
411		0.117000		1646
412		0.117000		1650
413		0.117000		1654
414		0.117000		1658
415		0.118000		1662
416		0.119000		1666
417		0.120000		1670
418		0.120000		1674
419		0.120000		1678
420		0.121000		1682
421		0.121000		1686
422		0.128000		1690
423		0.122000		1694
424		0.123000		1698
425		0.146000		1702
426		0.181000		1706
427		0.210000		1710
428		0.144000		1714
429		0.151000		1718
