Size		Time		Stack Size
1		0.000000		6
2		0.000000		10
3		0.000000		14
4		0.000000		18
5		0.000000		22
6		0.000000		26
7		0.000000		30
8		0.000000		34
9		0.001000		38
10		0.001000		42
11		0.001000		46
12		0.001000		50
13		0.001000		54
14		0.001000		58
15		0.000000		62
16		0.000000		66
17		0.001000		70
18		0.001000		74
19		0.000000		78
20		0.001000		82
21		0.001000		86
22		0.000000		90
23		0.001000		94
24		0.001000		98
25		0.001000		102
26		0.001000		106
27		0.001000		110
28		0.001000		114
29		0.002000		118
30		0.001000		122
31		0.001000		126
32		0.002000		130
33		0.001000		134
34		0.002000		138
35		0.001000		142
36		0.003000		146
37		0.001000		150
38		0.001000		154
39		0.002000		158
40		0.003000		162
41		0.002000		166
42		0.003000		170
43		0.002000		174
44		0.002000		178
45		0.003000		182
46		0.002000		186
47		0.002000		190
48		0.004000		194
49		0.003000		198
50		0.003000		202
51		0.003000		206
52		0.004000		210
53		0.004000		214
54		0.003000		218
55		0.003000		222
56		0.004000		226
57		0.003000		230
58		0.004000		234
59		0.004000		238
60		0.005000		242
61		0.004000		246
62		0.004000		250
63		0.005000		254
64		0.006000		258
65		0.005000		262
66		0.006000		266
67		0.006000		270
68		0.006000		274
69		0.005000		278
70		0.005000		282
71		0.005000		286
72		0.007000		290
73		0.006000		294
74		0.006000		298
75		0.007000		302
76		0.007000		306
77		0.008000		310
78		0.007000		314
79		0.007000		318
80		0.007000		322
81		0.007000		326
82		0.007000		330
83		0.007000		334
84		0.009000		338
85		0.008000		342
86		0.008000		346
87		0.009000		350
88		0.009000		354
89		0.008000		358
90		0.008000		362
91		0.008000		366
92		0.010000		370
93		0.010000		374
94		0.010000		378
95		0.009000		382
96		0.011000		386
97		0.011000		390
98		0.011000		394
99		0.010000		398
100		0.011000		402
101		0.011000		406
102		0.011000		410
103		0.012000		414
104		0.012000		418
105		0.012000		422
106		0.012000		426
107		0.012000		430
108		0.013000		434
109		0.013000		438
110		0.013000		442
111		0.013000		446
112		0.013000		450
113		0.014000		454
114		0.013000		458
115		0.013000		462
116		0.014000		466
117		0.015000		470
118		0.014000		474
119		0.014000		478
120		0.016000		482
121		0.016000		486
122		0.016000		490
123		0.017000		494
124		0.015000		498
125		0.015000		502
126		0.015000		506
127		0.016000		510
128		0.020000		514
129		0.018000		518
130		0.017000		522
131		0.017000		526
132		0.018000		530
133		0.018000		534
134		0.018000		538
135		0.018000		542
136		0.019000		546
137		0.019000		550
138		0.019000		554
139		0.019000		558
140		0.020000		562
141		0.020000		566
142		0.020000		570
143		0.020000		574
144		0.021000		578
145		0.021000		582
146		0.022000		586
147		0.021000		590
148		0.022000		594
149		0.021000		598
150		0.022000		602
151		0.021000		606
152		0.025000		610
153		0.024000		614
154		0.025000		618
155		0.024000		622
156		0.024000		626
157		0.024000		630
158		0.024000		634
159		0.024000		638
160		0.026000		642
161		0.026000		646
162		0.026000		650
163		0.026000		654
164		0.026000		658
165		0.027000		662
166		0.026000		666
167		0.026000		670
168		0.027000		674
169		0.027000		678
170		0.027000		682
171		0.027000		686
172		0.030000		690
173		0.031000		694
174		0.030000		698
175		0.030000		702
176		0.029000		706
177		0.029000		710
178		0.029000		714
179		0.029000		718
180		0.033000		722
181		0.033000		726
182		0.033000		730
183		0.034000		734
184		0.034000		738
185		0.034000		742
186		0.034000		746
187		0.034000		750
188		0.034000		754
189		0.034000		758
190		0.033000		762
191		0.034000		766
192		0.037000		770
193		0.037000		774
194		0.038000		778
195		0.038000		782
196		0.037000		786
197		0.038000		790
198		0.037000		794
199		0.037000		798
200		0.036000		802
201		0.037000		806
202		0.036000		810
203		0.036000		814
204		0.039000		818
205		0.045000		822
206		0.038000		826
207		0.039000		830
208		0.039000		834
209		0.039000		838
210		0.037000		842
211		0.038000		846
212		0.043000		850
213		0.044000		854
214		0.043000		858
215		0.043000		862
216		0.047000		866
217		0.046000		870
218		0.047000		874
219		0.057000		878
220		0.071000		882
221		0.067000		886
222		0.071000		890
223		0.073000		894
224		0.047000		898
225		0.047000		902
226		0.048000		906
227		0.047000		910
228		0.048000		914
229		0.049000		918
230		0.049000		922
231		0.050000		926
232		0.053000		930
233		0.053000		934
234		0.052000		938
235		0.052000		942
236		0.055000		946
237		0.054000		950
238		0.054000		954
239		0.055000		958
240		0.055000		962
241		0.054000		966
242		0.055000		970
243		0.055000		974
244		0.059000		978
245		0.059000		982
246		0.060000		986
247		0.059000		990
248		0.057000		994
249		0.057000		998
250		0.057000		1002
251		0.057000		1006
252		0.059000		1010
253		0.060000		1014
254		0.060000		1018
255		0.061000		1022
256		0.065000		1026
257		0.063000		1030
258		0.063000		1034
259		0.063000		1038
260		0.061000		1042
261		0.062000		1046
262		0.061000		1050
263		0.062000		1054
264		0.064000		1058
265		0.064000		1062
266		0.065000		1066
267		0.065000		1070
268		0.068000		1074
269		0.086000		1078
270		0.068000		1082
271		0.068000		1086
272		0.069000		1090
273		0.069000		1094
274		0.069000		1098
275		0.069000		1102
276		0.070000		1106
277		0.071000		1110
278		0.072000		1114
279		0.072000		1118
280		0.065000		1122
281		0.066000		1126
282		0.065000		1130
283		0.066000		1134
284		0.074000		1138
285		0.074000		1142
286		0.075000		1146
287		0.074000		1150
288		0.072000		1154
289		0.073000		1158
290		0.073000		1162
291		0.073000		1166
292		0.076000		1170
293		0.076000		1174
294		0.076000		1178
295		0.076000		1182
296		0.078000		1186
297		0.078000		1190
298		0.079000		1194
299		0.080000		1198
300		0.081000		1202
301		0.081000		1206
302		0.081000		1210
303		0.082000		1214
304		0.085000		1218
305		0.085000		1222
306		0.085000		1226
307		0.086000		1230
308		0.089000		1234
309		0.089000		1238
310		0.089000		1242
311		0.090000		1246
312		0.085000		1250
313		0.085000		1254
314		0.085000		1258
315		0.085000		1262
316		0.103000		1266
317		0.074000		1270
318		0.073000		1274
319		0.074000		1278
320		0.076000		1282
321		0.077000		1286
322		0.077000		1290
323		0.079000		1294
324		0.074000		1298
325		0.083000		1302
326		0.069000		1306
327		0.071000		1310
328		0.073000		1314
329		0.073000		1318
330		0.073000		1322
331		0.074000		1326
332		0.074000		1330
333		0.075000		1334
334		0.075000		1338
335		0.075000		1342
336		0.078000		1346
337		0.078000		1350
338		0.078000		1354
339		0.079000		1358
340		0.078000		1362
341		0.079000		1366
342		0.079000		1370
343		0.079000		1374
344		0.084000		1378
345		0.083000		1382
346		0.085000		1386
347		0.085000		1390
348		0.082000		1394
349		0.082000		1398
350		0.083000		1402
351		0.083000		1406
352		0.084000		1410
353		0.085000		1414
354		0.085000		1418
355		0.085000		1422
356		0.086000		1426
357		0.086000		1430
358		0.087000		1434
359		0.086000		1438
360		0.095000		1442
361		0.096000		1446
362		0.100000		1450
363		0.096000		1454
364		0.091000		1458
365		0.091000		1462
366		0.092000		1466
367		0.092000		1470
368		0.094000		1474
369		0.094000		1478
370		0.094000		1482
371		0.095000		1486
372		0.091000		1490
373		0.091000		1494
374		0.092000		1498
375		0.092000		1502
376		0.093000		1506
377		0.093000		1510
378		0.093000		1514
379		0.094000		1518
380		0.099000		1522
381		0.100000		1526
382		0.100000		1530
383		0.100000		1534
384		0.101000		1538
385		0.100000		1542
386		0.099000		1546
387		0.099000		1550
388		0.103000		1554
389		0.104000		1558
390		0.104000		1562
391		0.104000		1566
392		0.102000		1570
393		0.104000		1574
394		0.104000		1578
395		0.104000		1582
396		0.110000		1586
397		0.111000		1590
398		0.111000		1594
399		0.139000		1598
400		0.109000		1602
401		0.110000		1606
402		0.109000		1610
403		0.109000		1614
404		0.108000		1618
405		0.109000		1622
406		0.109000		1626
407		0.110000		1630
408		0.108000		1634
409		0.108000		1638
410		0.108000		1642
411		0.109000		1646
412		0.110000		1650
413		0.110000		1654
414		0.111000		1658
415		0.112000		1662
416		0.112000		1666
417		0.113000		1670
418		0.113000		1674
419		0.113000		1678
420		0.115000		1682
421		0.116000		1686
422		0.115000		1690
423		0.115000		1694
424		0.120000		1698
425		0.128000		1702
426		0.139000		1706
427		0.139000		1710
428		0.136000		1714
429		0.126000		1718
