Size		Time		Stack Size
1		0.000000		6
2		0.000000		10
3		0.000000		14
4		0.000000		18
5		0.001000		22
6		0.000000		26
7		0.000000		30
8		0.001000		34
9		0.000000		38
10		0.000000		42
11		0.000000		46
12		0.001000		50
13		0.000000		54
14		0.000000		58
15		0.000000		62
16		0.001000		66
17		0.001000		70
18		0.000000		74
19		0.000000		78
20		0.000000		82
21		0.000000		86
22		0.000000		90
23		0.001000		94
24		0.001000		98
25		0.001000		102
26		0.000000		106
27		0.000000		110
28		0.000000		114
29		0.001000		118
30		0.001000		122
31		0.000000		126
32		0.001000		130
33		0.000000		134
34		0.001000		138
35		0.000000		142
36		0.001000		146
37		0.000000		150
38		0.000000		154
39		0.001000		158
40		0.000000		162
41		0.001000		166
42		0.001000		170
43		0.001000		174
44		0.000000		178
45		0.000000		182
46		0.000000		186
47		0.001000		190
48		0.001000		194
49		0.001000		198
50		0.001000		202
51		0.001000		206
52		0.000000		210
53		0.001000		214
54		0.001000		218
55		0.001000		222
56		0.001000		226
57		0.001000		230
58		0.001000		234
59		0.001000		238
60		0.001000		242
61		0.001000		246
62		0.001000		250
63		0.001000		254
64		0.001000		258
65		0.001000		262
66		0.001000		266
67		0.001000		270
68		0.002000		274
69		0.002000		278
70		0.002000		282
71		0.001000		286
72		0.001000		290
73		0.001000		294
74		0.002000		298
75		0.002000		302
76		0.002000		306
77		0.002000		310
78		0.002000		314
79		0.002000		318
80		0.002000		322
81		0.002000		326
82		0.002000		330
83		0.001000		334
84		0.001000		338
85		0.001000		342
86		0.002000		346
87		0.002000		350
88		0.002000		354
89		0.002000		358
90		0.002000		362
91		0.002000		366
92		0.002000		370
93		0.002000		374
94		0.001000		378
95		0.002000		382
96		0.002000		386
97		0.001000		390
98		0.002000		394
99		0.002000		398
100		0.002000		402
101		0.002000		406
102		0.001000		410
103		0.002000		414
104		0.002000		418
105		0.002000		422
106		0.002000		426
107		0.002000		430
108		0.002000		434
109		0.002000		438
110		0.002000		442
111		0.002000		446
112		0.002000		450
113		0.002000		454
114		0.002000		458
115		0.003000		462
116		0.002000		466
117		0.013000		470
118		0.002000		474
119		0.002000		478
120		0.002000		482
121		0.002000		486
122		0.001000		490
123		0.002000		494
124		0.002000		498
125		0.002000		502
126		0.001000		506
127		0.002000		510
128		0.002000		514
129		0.002000		518
130		0.002000		522
131		0.001000		526
132		0.002000		530
133		0.002000		534
134		0.002000		538
135		0.001000		542
136		0.002000		546
137		0.002000		550
138		0.002000		554
139		0.002000		558
140		0.002000		562
141		0.002000		566
142		0.002000		570
143		0.003000		574
144		0.002000		578
145		0.002000		582
146		0.002000		586
147		0.002000		590
148		0.002000		594
149		0.003000		598
150		0.003000		602
151		0.002000		606
152		0.003000		610
153		0.003000		614
154		0.003000		618
155		0.003000		622
156		0.002000		626
157		0.003000		630
158		0.003000		634
159		0.003000		638
160		0.004000		642
161		0.003000		646
162		0.003000		650
163		0.003000		654
164		0.003000		658
165		0.003000		662
166		0.004000		666
167		0.003000		670
168		0.004000		674
169		0.003000		678
170		0.003000		682
171		0.003000		686
172		0.003000		690
173		0.003000		694
174		0.004000		698
175		0.003000		702
176		0.003000		706
177		0.003000		710
178		0.003000		714
179		0.003000		718
180		0.003000		722
181		0.005000		726
182		0.003000		730
183		0.002000		734
184		0.002000		738
185		0.003000		742
186		0.003000		746
187		0.003000		750
188		0.003000		754
189		0.002000		758
190		0.003000		762
191		0.003000		766
192		0.003000		770
193		0.003000		774
194		0.003000		778
195		0.004000		782
196		0.004000		786
197		0.004000		790
198		0.003000		794
199		0.003000		798
200		0.020000		802
201		0.020000		806
202		0.020000		810
203		0.020000		814
204		0.020000		818
205		0.021000		822
206		0.021000		826
207		0.021000		830
208		0.020000		834
209		0.020000		838
210		0.021000		842
211		0.021000		846
212		0.021000		850
213		0.021000		854
214		0.021000		858
215		0.020000		862
216		0.021000		866
217		0.021000		870
218		0.021000		874
219		0.021000		878
220		0.022000		882
221		0.022000		886
222		0.021000		890
223		0.021000		894
224		0.022000		898
225		0.022000		902
226		0.022000		906
227		0.022000		910
228		0.022000		914
229		0.022000		918
230		0.022000		922
231		0.022000		926
232		0.022000		930
233		0.022000		934
234		0.022000		938
235		0.023000		942
236		0.022000		946
237		0.023000		950
238		0.022000		954
239		0.023000		958
240		0.023000		962
241		0.023000		966
242		0.023000		970
243		0.023000		974
244		0.024000		978
245		0.024000		982
246		0.023000		986
247		0.024000		990
248		0.024000		994
249		0.025000		998
250		0.025000		1002
251		0.025000		1006
252		0.025000		1010
253		0.025000		1014
254		0.026000		1018
255		0.026000		1022
256		0.026000		1026
257		0.027000		1030
258		0.028000		1034
259		0.028000		1038
260		0.028000		1042
261		0.028000		1046
262		0.028000		1050
263		0.028000		1054
264		0.029000		1058
265		0.029000		1062
266		0.028000		1066
267		0.028000		1070
268		0.029000		1074
269		0.029000		1078
270		0.029000		1082
271		0.029000		1086
272		0.029000		1090
273		0.029000		1094
274		0.029000		1098
275		0.029000		1102
276		0.030000		1106
277		0.030000		1110
278		0.030000		1114
279		0.031000		1118
280		0.031000		1122
281		0.032000		1126
282		0.032000		1130
283		0.032000		1134
284		0.033000		1138
285		0.033000		1142
286		0.034000		1146
287		0.034000		1150
288		0.033000		1154
289		0.034000		1158
290		0.034000		1162
291		0.035000		1166
292		0.035000		1170
293		0.034000		1174
294		0.035000		1178
295		0.035000		1182
296		0.035000		1186
297		0.035000		1190
298		0.036000		1194
299		0.035000		1198
300		0.043000		1202
301		0.043000		1206
302		0.042000		1210
303		0.043000		1214
304		0.042000		1218
305		0.042000		1222
306		0.042000		1226
307		0.042000		1230
308		0.043000		1234
309		0.046000		1238
310		0.044000		1242
311		0.044000		1246
312		0.044000		1250
313		0.050000		1254
314		0.045000		1258
315		0.045000		1262
316		0.045000		1266
317		0.045000		1270
318		0.045000		1274
319		0.046000		1278
320		0.046000		1282
321		0.046000		1286
322		0.047000		1290
323		0.047000		1294
324		0.047000		1298
325		0.047000		1302
326		0.047000		1306
327		0.048000		1310
328		0.048000		1314
329		0.049000		1318
330		0.049000		1322
331		0.050000		1326
332		0.050000		1330
333		0.051000		1334
334		0.051000		1338
335		0.051000		1342
336		0.051000		1346
337		0.052000		1350
338		0.052000		1354
339		0.053000		1358
340		0.054000		1362
341		0.054000		1366
342		0.054000		1370
343		0.055000		1374
344		0.055000		1378
345		0.056000		1382
346		0.056000		1386
347		0.056000		1390
348		0.057000		1394
349		0.058000		1398
350		0.058000		1402
351		0.059000		1406
352		0.059000		1410
353		0.060000		1414
354		0.060000		1418
355		0.060000		1422
356		0.059000		1426
357		0.061000		1430
358		0.061000		1434
359		0.061000		1438
360		0.060000		1442
361		0.062000		1446
362		0.062000		1450
363		0.061000		1454
364		0.062000		1458
365		0.062000		1462
366		0.063000		1466
367		0.063000		1470
368		0.063000		1474
369		0.064000		1478
370		0.064000		1482
371		0.064000		1486
372		0.064000		1490
373		0.065000		1494
374		0.066000		1498
375		0.066000		1502
376		0.065000		1506
377		0.066000		1510
378		0.066000		1514
379		0.067000		1518
380		0.068000		1522
381		0.068000		1526
382		0.068000		1530
383		0.069000		1534
384		0.069000		1538
385		0.069000		1542
386		0.070000		1546
387		0.070000		1550
388		0.071000		1554
389		0.070000		1558
390		0.071000		1562
391		0.071000		1566
392		0.072000		1570
393		0.072000		1574
394		0.073000		1578
395		0.106000		1582
396		0.118000		1586
397		0.094000		1590
398		0.075000		1594
399		0.074000		1598
400		0.081000		1602
401		0.080000		1606
402		0.081000		1610
403		0.081000		1614
404		0.081000		1618
405		0.081000		1622
406		0.083000		1626
407		0.083000		1630
408		0.083000		1634
409		0.084000		1638
410		0.085000		1642
411		0.085000		1646
412		0.085000		1650
413		0.086000		1654
414		0.085000		1658
415		0.085000		1662
416		0.086000		1666
417		0.086000		1670
418		0.086000		1674
419		0.087000		1678
420		0.087000		1682
421		0.088000		1686
422		0.125000		1690
423		0.123000		1694
424		0.132000		1698
425		0.113000		1702
426		0.113000		1706
427		0.114000		1710
428		0.115000		1714
429		0.115000		1718
