Size		Time		Stack Size
1		0.000000		6
2		0.000000		10
3		0.000000		14
4		0.000000		18
5		0.001000		22
6		0.000000		26
7		0.010000		30
8		0.000000		34
9		0.000000		38
10		0.000000		42
11		0.000000		46
12		0.000000		50
13		0.000000		54
14		0.000000		58
15		0.000000		62
16		0.001000		66
17		0.001000		70
18		0.000000		74
19		0.000000		78
20		0.001000		82
21		0.000000		86
22		0.001000		90
23		0.001000		94
24		0.001000		98
25		0.001000		102
26		0.002000		106
27		0.001000		110
28		0.001000		114
29		0.001000		118
30		0.002000		122
31		0.002000		126
32		0.001000		130
33		0.002000		134
34		0.001000		138
35		0.002000		142
36		0.002000		146
37		0.002000		150
38		0.002000		154
39		0.003000		158
40		0.003000		162
41		0.002000		166
42		0.002000		170
43		0.003000		174
44		0.003000		178
45		0.003000		182
46		0.003000		186
47		0.003000		190
48		0.003000		194
49		0.003000		198
50		0.004000		202
51		0.004000		206
52		0.004000		210
53		0.004000		214
54		0.014000		218
55		0.005000		222
56		0.006000		226
57		0.006000		230
58		0.006000		234
59		0.006000		238
60		0.007000		242
61		0.007000		246
62		0.007000		250
63		0.007000		254
64		0.007000		258
65		0.007000		262
66		0.008000		266
67		0.008000		270
68		0.008000		274
69		0.009000		278
70		0.009000		282
71		0.009000		286
72		0.009000		290
73		0.010000		294
74		0.010000		298
75		0.010000		302
76		0.011000		306
77		0.011000		310
78		0.012000		314
79		0.011000		318
80		0.012000		322
81		0.012000		326
82		0.013000		330
83		0.012000		334
84		0.012000		338
85		0.014000		342
86		0.013000		346
87		0.013000		350
88		0.013000		354
89		0.014000		358
90		0.015000		362
91		0.015000		366
92		0.015000		370
93		0.015000		374
94		0.016000		378
95		0.016000		382
96		0.016000		386
97		0.017000		390
98		0.017000		394
99		0.018000		398
100		0.018000		402
101		0.018000		406
102		0.018000		410
103		0.019000		414
104		0.019000		418
105		0.020000		422
106		0.020000		426
107		0.020000		430
108		0.020000		434
109		0.021000		438
110		0.022000		442
111		0.022000		446
112		0.022000		450
113		0.022000		454
114		0.023000		458
115		0.023000		462
116		0.023000		466
117		0.029000		470
118		0.018000		474
119		0.019000		478
120		0.019000		482
121		0.020000		486
122		0.020000		490
123		0.020000		494
124		0.020000		498
125		0.021000		502
126		0.021000		506
127		0.021000		510
128		0.022000		514
129		0.022000		518
130		0.022000		522
131		0.023000		526
132		0.023000		530
133		0.023000		534
134		0.024000		538
135		0.024000		542
136		0.025000		546
137		0.024000		550
138		0.026000		554
139		0.026000		558
140		0.025000		562
141		0.027000		566
142		0.026000		570
143		0.027000		574
144		0.027000		578
145		0.028000		582
146		0.028000		586
147		0.028000		590
148		0.029000		594
149		0.029000		598
150		0.030000		602
151		0.030000		606
152		0.030000		610
153		0.031000		614
154		0.031000		618
155		0.031000		622
156		0.032000		626
157		0.033000		630
158		0.032000		634
159		0.033000		638
160		0.034000		642
161		0.034000		646
162		0.035000		650
163		0.034000		654
164		0.036000		658
165		0.035000		662
166		0.036000		666
167		0.037000		670
168		0.037000		674
169		0.038000		678
170		0.037000		682
171		0.038000		686
172		0.039000		690
173		0.039000		694
174		0.039000		698
175		0.040000		702
176		0.041000		706
177		0.040000		710
178		0.041000		714
179		0.041000		718
180		0.047000		722
181		0.043000		726
182		0.042000		730
183		0.042000		734
184		0.043000		738
185		0.043000		742
186		0.044000		746
187		0.044000		750
188		0.045000		754
189		0.045000		758
190		0.045000		762
191		0.046000		766
192		0.047000		770
193		0.047000		774
194		0.047000		778
195		0.048000		782
196		0.048000		786
197		0.049000		790
198		0.050000		794
199		0.049000		798
200		0.050000		802
201		0.051000		806
202		0.051000		810
203		0.052000		814
204		0.052000		818
205		0.053000		822
206		0.053000		826
207		0.053000		830
208		0.055000		834
209		0.054000		838
210		0.055000		842
211		0.055000		846
212		0.056000		850
213		0.057000		854
214		0.057000		858
215		0.058000		862
216		0.059000		866
217		0.059000		870
218		0.060000		874
219		0.060000		878
220		0.060000		882
221		0.061000		886
222		0.062000		890
223		0.062000		894
224		0.063000		898
225		0.063000		902
226		0.064000		906
227		0.064000		910
228		0.064000		914
229		0.065000		918
230		0.066000		922
231		0.066000		926
232		0.067000		930
233		0.068000		934
234		0.068000		938
235		0.069000		942
236		0.069000		946
237		0.070000		950
238		0.071000		954
239		0.071000		958
240		0.084000		962
241		0.093000		966
242		0.076000		970
243		0.075000		974
244		0.076000		978
245		0.078000		982
246		0.087000		986
247		0.079000		990
248		0.079000		994
249		0.079000		998
250		0.109000		1002
251		0.081000		1006
252		0.081000		1010
253		0.082000		1014
254		0.083000		1018
255		0.083000		1022
256		0.084000		1026
257		0.085000		1030
258		0.085000		1034
259		0.086000		1038
260		0.087000		1042
261		0.087000		1046
262		0.088000		1050
263		0.120000		1054
264		0.128000		1058
265		0.136000		1062
266		0.135000		1066
267		0.140000		1070
268		0.133000		1074
269		0.092000		1078
270		0.093000		1082
271		0.094000		1086
272		0.095000		1090
273		0.095000		1094
274		0.096000		1098
275		0.112000		1102
276		0.096000		1106
277		0.097000		1110
278		0.098000		1114
279		0.100000		1118
280		0.099000		1122
281		0.100000		1126
282		0.102000		1130
283		0.101000		1134
284		0.102000		1138
285		0.103000		1142
286		0.114000		1146
287		0.105000		1150
288		0.106000		1154
289		0.113000		1158
290		0.123000		1162
291		0.124000		1166
292		0.125000		1170
293		0.125000		1174
294		0.119000		1178
295		0.110000		1182
296		0.112000		1186
297		0.112000		1190
298		0.112000		1194
299		0.113000		1198
300		0.114000		1202
301		0.115000		1206
302		0.115000		1210
303		0.117000		1214
304		0.118000		1218
305		0.119000		1222
306		0.120000		1226
307		0.121000		1230
308		0.121000		1234
309		0.125000		1238
310		0.121000		1242
311		0.122000		1246
312		0.130000		1250
313		0.140000		1254
314		0.141000		1258
315		0.142000		1262
316		0.143000		1266
317		0.136000		1270
318		0.140000		1274
319		0.144000		1278
320		0.145000		1282
321		0.147000		1286
322		0.146000		1290
323		0.147000		1294
324		0.148000		1298
325		0.150000		1302
326		0.150000		1306
327		0.150000		1310
328		0.151000		1314
329		0.152000		1318
330		0.154000		1322
331		0.148000		1326
332		0.140000		1330
333		0.140000		1334
334		0.140000		1338
335		0.141000		1342
336		0.143000		1346
337		0.144000		1350
338		0.144000		1354
339		0.151000		1358
340		0.161000		1362
341		0.162000		1366
342		0.163000		1370
343		0.158000		1374
344		0.150000		1378
345		0.166000		1382
346		0.168000		1386
347		0.169000		1390
348		0.169000		1394
349		0.170000		1398
350		0.233000		1402
351		0.155000		1406
352		0.193000		1410
353		0.157000		1414
354		0.159000		1418
355		0.164000		1422
356		0.155000		1426
357		0.156000		1430
358		0.176000		1434
359		0.177000		1438
360		0.178000		1442
361		0.179000		1446
362		0.181000		1450
363		0.181000		1454
364		0.162000		1458
365		0.173000		1462
366		0.183000		1466
367		0.209000		1470
368		0.184000		1474
369		0.190000		1478
370		0.190000		1482
371		0.188000		1486
372		0.190000		1490
373		0.191000		1494
374		0.192000		1498
375		0.194000		1502
376		0.219000		1506
377		0.276000		1510
378		0.291000		1514
379		0.229000		1518
380		0.205000		1522
381		0.203000		1526
382		0.227000		1530
383		0.218000		1534
384		0.240000		1538
385		0.208000		1542
386		0.209000		1546
387		0.183000		1550
388		0.184000		1554
389		0.185000		1558
390		0.185000		1562
391		0.187000		1566
392		0.188000		1570
393		0.189000		1574
394		0.190000		1578
395		0.191000		1582
396		0.191000		1586
397		0.192000		1590
398		0.194000		1594
399		0.210000		1598
400		0.206000		1602
401		0.196000		1606
402		0.197000		1610
403		0.198000		1614
404		0.200000		1618
405		0.200000		1622
406		0.226000		1626
407		0.202000		1630
408		0.203000		1634
409		0.204000		1638
410		0.204000		1642
411		0.206000		1646
412		0.207000		1650
413		0.208000		1654
414		0.209000		1658
415		0.210000		1662
416		0.211000		1666
417		0.211000		1670
418		0.213000		1674
419		0.214000		1678
420		0.215000		1682
421		0.216000		1686
422		0.217000		1690
423		0.218000		1694
424		0.219000		1698
425		0.245000		1702
426		0.221000		1706
427		0.222000		1710
428		0.223000		1714
429		0.224000		1718
