Divisions		Files Generated		Time
5100		3		39.551000
5101		3		15.734000
5102		3		15.617000
5103		3		15.172000
5104		3		16.174000
5105		3		15.308000
5106		3		15.397000
5107		3		15.093000
5108		3		15.629000
5109		3		15.131000
5110		3		15.290000
5111		3		16.316000
5112		3		15.408000
5113		3		14.544000
5114		3		14.536000
5115		3		14.564000
5116		3		14.509000
5117		3		13.555000
5118		3		15.031000
5119		3		13.747000
5120		2		11.808000
5121		2		12.118000
5122		2		11.652000
5123		2		11.856000
5124		2		11.936000
5125		2		11.614000
5126		2		12.995000
5127		2		12.092000
5128		2		12.159000
5129		2		12.233000
5130		2		11.677000
5131		2		12.021000
5132		2		11.839000
5133		2		11.627000
5134		2		12.746000
5135		2		11.940000
5136		2		11.802000
5137		2		12.004000
5138		2		11.604000
5139		2		12.103000
5140		2		11.704000
5141		2		11.614000
5142		2		12.152000
5143		2		13.318000
5144		2		12.936000
5145		2		12.109000
5146		2		12.004000
5147		2		12.036000
5148		2		11.699000
5149		2		11.853000
5150		2		11.832000
5151		2		12.620000
5152		2		12.552000
5153		2		12.194000
5154		2		11.791000
5155		2		12.197000
5156		2		11.664000
5157		2		12.063000
5158		2		11.826000
5159		2		11.750000
5160		2		12.283000
5161		2		11.780000
5162		2		11.724000
5163		2		12.053000
5164		2		11.680000
5165		2		11.944000
5166		2		11.711000
5167		2		11.606000
5168		2		12.389000
5169		2		26.519000
5170		2		13.832000
5171		2		12.305000
5172		2		12.436000
5173		2		11.814000
5174		2		12.127000
5175		2		12.028000
5176		2		11.807000
5177		2		12.409000
5178		2		11.647000
5179		2		12.968000
5180		2		12.072000
5181		2		12.402000
5182		2		12.733000
5183		2		11.976000
5184		2		11.911000
5185		2		12.938000
5186		2		11.742000
5187		2		12.533000
5188		2		11.750000
5189		2		11.609000
5190		2		12.697000
5191		2		12.454000
5192		2		13.222000
5193		2		12.397000
5194		2		11.807000
5195		2		12.334000
5196		2		11.738000
5197		2		11.657000
5198		2		12.277000
5199		2		11.762000
5200		2		14.350000
5201		2		12.182000
5202		2		11.995000
5203		2		12.287000
5204		2		11.769000
5205		2		12.025000
5206		2		11.896000
5207		2		11.678000
5208		2		12.470000
5209		2		11.823000
5210		2		11.653000
5211		2		12.198000
5212		2		11.731000
5213		2		12.028000
5214		2		11.759000
5215		2		11.634000
5216		2		12.568000
5217		2		13.088000
5218		2		12.386000
5219		2		12.100000
5220		2		11.793000
5221		2		12.192000
5222		2		11.665000
5223		2		11.671000
5224		2		12.292000
5225		2		13.865000
5226		2		12.161000
5227		2		12.172000
5228		2		11.817000
5229		2		11.979000
5230		2		11.615000
5231		2		11.894000
5232		2		11.634000
5233		2		11.969000
5234		2		12.046000
5235		2		11.628000
5236		2		11.626000
5237		2		11.950000
5238		2		11.576000
5239		2		11.940000
5240		2		11.567000
5241		2		11.508000
5242		2		14.093000
5243		2		12.897000
5244		2		12.719000
5245		2		11.885000
5246		2		11.656000
5247		2		12.610000
5248		2		11.606000
5249		2		11.658000
5250		2		13.402000
5251		2		12.548000
5252		2		12.577000
5253		2		11.767000
5254		2		11.614000
5255		2		12.146000
5256		2		11.682000
5257		2		12.055000
5258		2		12.579000
5259		2		12.452000
5260		2		12.630000
5261		2		11.952000
5262		2		12.009000
5263		2		11.935000
5264		2		11.710000
5265		2		12.283000
5266		2		11.767000
5267		2		13.664000
5268		2		12.359000
5269		2		12.413000
5270		2		12.132000
5271		2		11.748000
5272		2		11.637000
5273		2		12.076000
5274		2		11.713000
5275		2		12.191000
5276		2		12.080000
5277		2		11.874000
5278		2		12.036000
5279		2		11.770000
5280		2		11.656000
5281		2		12.169000
5282		2		11.726000
5283		2		11.837000
5284		2		13.103000
5285		2		12.270000
5286		2		12.413000
5287		2		11.812000
5288		2		11.701000
5289		2		12.167000
5290		2		11.916000
5291		2		12.113000
5292		2		13.071000
5293		2		12.450000
5294		2		13.026000
5295		2		11.822000
5296		2		12.080000
5297		2		11.897000
5298		2		11.710000
5299		2		12.224000
5300		2		12.266000
5301		2		12.739000
5302		2		12.374000
5303		2		11.968000
5304		2		12.214000
5305		2		12.068000
5306		2		11.891000
5307		2		12.351000
5308		2		12.046000
5309		2		12.418000
5310		2		12.040000
5311		2		11.982000
5312		2		12.117000
5313		2		11.759000
5314		2		11.902000
5315		2		11.874000
5316		2		11.745000
5317		2		13.449000
5318		2		12.250000
5319		2		12.301000
5320		2		12.206000
5321		2		11.719000
5322		2		12.170000
5323		2		11.796000
5324		2		11.831000
5325		2		12.677000
5326		2		13.116000
5327		2		12.541000
5328		2		11.878000
5329		2		11.554000
5330		2		11.995000
5331		2		12.018000
5332		2		11.776000
5333		2		12.229000
5334		2		12.011000
5335		2		12.131000
5336		2		11.610000
5337		2		11.519000
5338		2		12.025000
5339		2		11.629000
5340		2		11.671000
5341		2		11.794000
5342		2		12.991000
5343		2		12.246000
5344		2		12.291000
5345		2		12.071000
5346		2		12.119000
5347		2		11.778000
5348		2		12.278000
5349		2		11.868000
5350		2		12.351000
5351		2		12.678000
5352		2		12.414000
5353		2		12.251000
5354		2		11.931000
5355		2		11.624000
5356		2		12.256000
5357		2		11.740000
5358		2		12.185000
5359		2		12.079000
5360		2		11.730000
5361		2		12.203000
5362		2		11.759000
5363		2		11.684000
5364		2		12.229000
5365		2		11.652000
5366		2		11.639000
5367		2		13.393000
5368		2		12.208000
5369		2		12.326000
5370		2		11.863000
5371		2		11.658000
5372		2		12.244000
5373		2		11.641000
5374		2		12.035000
5375		2		12.585000
5376		2		13.146000
5377		2		13.382000
5378		2		27.761000
5379		2		12.563000
5380		2		17.449000
5381		2		12.839000
5382		2		11.831000
5383		2		12.468000
5384		2		11.648000
5385		2		12.436000
5386		2		11.699000
5387		2		11.614000
5388		2		12.743000
5389		2		11.650000
