Divisions		Files Generated		Time
1000		11		23.309000
1001		11		23.017000
1002		11		23.523000
1003		11		23.298000
1004		11		22.972000
1005		11		23.131000
1006		11		22.738000
1007		11		23.621000
1008		11		23.226000
1009		11		23.903000
1010		11		22.931000
1011		11		23.743000
1012		11		22.813000
1013		11		23.571000
1014		11		23.197000
1015		11		23.200000
1016		11		23.464000
1017		11		23.710000
1018		11		23.608000
1019		11		22.618000
1020		11		23.121000
1021		11		22.696000
1022		11		22.611000
1023		11		22.506000
1024		10		22.625000
1025		10		22.250000
1026		10		21.719000
1027		10		22.348000
1028		10		22.851000
1029		10		22.815000
1030		10		22.167000
1031		10		23.126000
1032		10		22.349000
1033		10		22.756000
1034		10		22.681000
1035		10		22.832000
1036		10		22.594000
1037		10		22.747000
1038		10		22.519000
1039		10		23.173000
1040		10		22.512000
1041		10		22.576000
1042		10		22.460000
1043		10		23.007000
1044		10		22.399000
1045		10		22.432000
1046		10		22.850000
1047		10		22.792000
1048		10		23.531000
1049		10		23.284000
1050		10		22.412000
1051		10		22.946000
1052		10		23.054000
1053		10		23.277000
1054		10		23.309000
1055		10		23.001000
1056		10		23.090000
1057		10		23.427000
1058		10		23.816000
1059		10		22.653000
1060		10		23.002000
1061		10		23.216000
1062		10		22.696000
1063		10		22.697000
1064		10		23.053000
1065		10		22.566000
1066		10		22.195000
1067		10		23.004000
1068		10		22.990000
1069		10		22.231000
1070		10		23.266000
1071		10		22.875000
1072		10		23.771000
1073		10		23.194000
1074		10		23.371000
1075		10		23.422000
1076		10		23.501000
1077		10		23.363000
1078		10		23.413000
1079		10		23.240000
1080		10		22.945000
1081		10		23.418000
1082		10		23.826000
1083		10		23.826000
1084		10		22.495000
1085		10		23.293000
1086		10		23.199000
1087		10		22.451000
1088		10		22.556000
1089		10		33.451000
1090		10		22.676000
1091		10		22.691000
1092		10		23.333000
1093		10		32.887000
1094		10		23.292000
1095		10		23.111000
1096		10		23.354000
1097		10		32.961000
1098		10		22.518000
1099		10		22.347000
1100		10		22.914000
1101		10		32.869000
1102		10		22.718000
1103		10		22.431000
1104		10		23.271000
1105		10		23.165000
1106		10		23.820000
1107		10		23.117000
1108		10		23.876000
1109		10		24.033000
1110		10		23.628000
1111		10		23.147000
1112		10		23.408000
1113		10		23.404000
1114		10		24.925000
1115		10		22.816000
1116		10		22.781000
1117		10		22.494000
1118		10		23.620000
1119		10		23.402000
1120		10		23.342000
1121		10		23.446000
1122		10		23.932000
1123		10		23.222000
1124		10		23.026000
1125		10		23.402000
1126		10		22.911000
1127		10		24.495000
1128		10		23.282000
1129		10		23.667000
1130		10		23.385000
1131		10		23.767000
1132		10		22.852000
1133		10		23.689000
1134		10		23.256000
1135		10		23.485000
1136		10		23.719000
1137		10		23.234000
1138		9		22.427000
1139		9		22.517000
1140		9		22.296000
1141		9		22.563000
1142		9		22.908000
1143		9		22.945000
1144		9		23.392000
1145		9		22.679000
1146		9		22.920000
1147		9		23.159000
1148		9		23.051000
1149		9		22.417000
1150		9		23.168000
1151		9		23.208000
1152		9		22.379000
1153		9		23.045000
1154		9		23.066000
1155		9		23.046000
1156		9		22.686000
1157		9		23.384000
1158		9		22.865000
1159		9		22.374000
1160		9		22.168000
1161		9		22.733000
1162		9		22.553000
1163		9		22.323000
1164		9		22.505000
1165		9		22.799000
1166		9		23.119000
1167		9		22.879000
1168		9		23.079000
1169		9		23.236000
1170		9		23.112000
1171		9		24.060000
1172		9		23.539000
1173		9		23.469000
1174		9		23.096000
1175		9		24.193000
1176		9		23.228000
1177		9		23.130000
1178		9		23.128000
1179		9		23.505000
1180		9		23.297000
1181		9		23.461000
1182		9		23.303000
1183		9		23.423000
1184		9		24.471000
1185		9		23.805000
1186		9		23.243000
1187		9		23.777000
1188		9		24.605000
1189		9		23.925000
1190		9		23.327000
1191		9		23.861000
1192		9		23.919000
1193		9		23.859000
1194		9		23.236000
1195		9		23.742000
1196		9		24.485000
1197		9		23.579000
1198		9		23.521000
1199		9		23.872000
1200		9		23.838000
1201		9		23.386000
1202		9		23.340000
1203		9		23.279000
1204		9		23.494000
1205		9		24.485000
1206		9		23.307000
1207		9		23.667000
1208		9		23.711000
1209		9		24.178000
1210		9		23.488000
1211		9		23.493000
1212		9		23.595000
1213		9		23.653000
1214		9		24.144000
1215		9		23.650000
1216		9		23.482000
1217		9		23.780000
1218		9		24.095000
1219		9		23.554000
1220		9		23.748000
1221		9		23.752000
1222		9		24.149000
1223		9		23.653000
1224		9		23.757000
1225		9		23.852000
1226		9		24.284000
1227		9		23.739000
1228		9		23.840000
1229		9		23.819000
1230		9		23.721000
1231		9		24.235000
1232		9		23.891000
1233		9		23.922000
1234		9		23.710000
1235		9		24.292000
1236		9		23.952000
1237		9		23.942000
1238		9		23.716000
1239		9		24.376000
1240		9		24.192000
1241		9		23.857000
1242		9		23.750000
1243		9		23.759000
1244		9		23.778000
1245		9		23.903000
1246		9		23.780000
1247		9		23.983000
1248		9		24.400000
1249		9		23.869000
1250		9		23.784000
1251		9		24.359000
1252		9		23.890000
1253		9		23.995000
1254		9		23.839000
1255		9		24.324000
1256		9		24.006000
1257		9		24.025000
1258		9		23.950000
1259		9		24.690000
1260		9		24.568000
1261		9		23.942000
1262		9		24.014000
1263		9		23.908000
1264		9		24.482000
1265		9		24.489000
